image,rank,name,platform,start,end,start2,end2,start3,end3,siblings,sibling_rank
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/69.png,69,罗斯安家庭生活,ABC,1988,1997,2018,,,,2,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/70.png,70,美国罪案：人民诉辛普森案,FX,2016,,,,,,5,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/71.png,71,单身生活,Fox,1993,1998,,,,,3,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/72.png,72,纯真年代,ABC,1988,1993,,,,,2,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/73.png,73,纽约重案组,ABC,1993,2005,,,,,3,3
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/74.png,74,朽木,HBO,2004,2006,,,,,2,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/75.png,75,出租汽车,ABC/NBC,1978,1983,,,,,2,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/76.png,76,茶煲表哥,NBC,1990,1996,,,,,4,4
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/77.png,77,司徒囧每日秀,Comedy Central,1999,2015,,,,,5,5
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/78.png,78,朱门恩怨,CBS/TNT,1978,1991,2012,2014,,,2,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/79.png,79,布偶秀,Syndicated,1976,1981,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/80.png,80,丑闻,ABC,2012,2018,,,,,3,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/81.png,81,三十而立,ABC,1987,1991,,,,,2,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/82.png,82,伦敦生活,Amazon Prime Video,2016,,2019,,,,5,3
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/83.png,83,怪奇物语,Netflix,2016,2024,,,,,5,4
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/84.png,84,亚特兰大,FX,2016,2022,,,,,5,5
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/85.png,85,神探可伦坡,NBC/ABC,1971,1978,1989,2003,,,2,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/86.png,86,都市女孩,HBO,2012,2017,,,,,3,3
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/87.png,87,欢乐时光,ABC,1974,1984,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/88.png,88,综合医院,ABC,1963,2024,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/89.png,89,罗杰斯先生的邻居,PBS,1968,2001,,,,,2,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/90.png,90,考斯比一家,NBC,1984,1992,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/91.png,91,拽妹黛薇儿,MTV,1997,2002,,,,,3,3
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/92.png,92,波城杏话,NBC,1982,1988,,,,,3,3
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/93.png,93,威尔和格蕾丝,NBC,1998,2006,2017,2020,,,2,2
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/94.png,94,我可以毁掉你,HBO,2020,,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/95.png,95,黑镜,Channel 4/Netflix,2011,2024,,,,,4,3
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/96.png,96,傲骨之战,Paramount+,2017,2022,,,,,1,1
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/97.png,97,顶级大厨,Bravo,2006,2024,,,,,3,3
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/98.png,98,国土安全,Showtime ,2011,2020,,,,,4,4
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/99.png,99,汉尼拔,NBC,2013,2015,,,,,3,3
https://raw.githubusercontent.com/zoey3737/resources/master/img/100shows/100.png,100,废柴联盟,NBC,2009,2015,,,,,2,2
